"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 02:12:57 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"MQ Blank - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
380,243.383,164.467,106.065,60.187,34.797,31.995,24.307,22.374,21.112,22.616,23.235,25.063,21.481,16.631,11.610,8.406,6.438,5.082,4.965,10.407,96.207,285.989,180.333,24.640,5.307,6.733,7.333,8.522,58.176,630.392,1154.339,423.911,22.864,0.917,0.559,0.760,0.632,0.738,0.792,0.734,0.835,0.755,1.012,1.083,1.192,1.461,1.423,1.283,1.164,1.282,1.209,1.073,1.089,0.812,0.941,
385,191.554,132.535,86.313,48.399,28.858,24.693,18.455,16.298,16.963,16.572,18.259,17.617,16.347,12.917,9.346,7.942,6.124,4.502,3.764,4.863,14.795,123.846,266.089,120.694,13.338,5.362,5.984,6.484,7.566,49.513,567.084,1113.231,443.150,19.938,0.798,0.532,0.703,0.549,0.795,0.847,0.834,0.838,0.841,1.000,1.025,1.100,1.217,1.074,1.090,1.167,1.046,0.979,0.922,0.763,0.852,
390,138.314,94.617,66.031,36.411,23.572,22.571,16.668,12.405,13.233,12.215,13.097,13.892,11.442,10.323,7.653,5.905,5.369,3.400,3.348,3.055,4.428,20.561,150.280,231.151,78.601,7.989,4.474,5.673,5.519,7.226,37.980,546.888,1068.181,410.216,18.434,0.817,0.805,0.662,0.658,0.732,0.681,0.729,0.791,0.802,0.922,0.940,1.107,0.952,0.880,0.946,0.906,0.858,0.940,0.732,0.682,
395,114.339,76.727,55.641,31.257,15.060,15.256,12.929,10.070,11.549,10.474,10.406,11.817,9.582,8.920,5.935,4.583,4.303,3.237,2.106,2.557,2.775,4.297,33.385,174.624,183.452,42.216,4.506,4.518,5.220,5.049,6.145,44.934,528.504,997.837,353.244,16.172,0.680,0.765,0.617,0.730,0.718,0.692,0.641,0.742,0.896,0.933,0.852,0.913,0.839,0.849,0.805,0.810,0.722,0.635,0.710,
400,87.265,65.696,42.371,25.495,14.113,12.175,8.378,8.871,7.692,8.213,7.849,8.348,6.989,6.494,4.195,4.163,3.401,3.257,2.182,1.922,2.007,2.098,4.956,49.789,178.657,137.635,23.887,3.629,4.086,4.920,4.415,5.948,35.596,479.256,910.224,325.333,16.211,0.813,0.672,0.767,0.733,0.634,0.487,0.788,0.942,0.830,0.876,0.836,0.787,0.760,0.853,0.694,0.746,0.701,0.524,
405,80.260,53.113,40.958,22.079,15.349,13.010,9.095,7.348,7.820,6.749,7.817,8.556,7.598,6.038,4.208,3.521,2.643,2.675,2.212,1.712,1.939,1.882,2.123,7.686,69.188,177.039,96.289,13.812,2.933,3.962,4.428,4.407,5.458,31.271,431.308,798.279,300.072,15.859,1.033,0.691,0.642,0.551,0.654,0.755,0.803,0.664,0.830,0.903,0.762,0.836,0.766,0.712,0.679,0.497,0.546,
410,64.997,53.486,34.115,21.448,11.621,12.071,8.219,7.517,7.359,6.958,7.151,7.087,6.360,4.705,3.274,3.262,2.778,2.368,1.782,2.153,1.595,1.187,1.795,2.424,12.836,96.935,161.007,62.572,6.473,3.017,4.182,4.757,4.406,5.018,33.259,400.372,703.811,265.150,15.276,0.865,0.792,0.668,0.633,0.759,0.729,0.767,0.729,0.732,0.738,0.815,0.644,0.698,0.645,0.523,0.606,
415,62.196,46.714,31.018,18.398,11.149,11.673,7.000,5.950,7.912,6.055,6.371,6.042,6.328,5.092,3.403,3.287,2.084,2.127,1.808,2.118,1.499,1.116,1.048,1.427,2.748,21.031,114.152,136.861,37.926,4.186,2.781,4.434,5.276,3.492,4.656,27.741,333.242,646.061,274.272,12.889,0.758,0.708,0.741,0.669,0.729,0.638,0.725,0.749,0.646,0.700,0.627,0.680,0.712,0.600,0.572,
420,47.920,44.141,28.584,18.786,8.401,8.921,8.665,6.474,6.243,7.012,6.629,5.910,5.516,3.997,3.816,2.682,1.525,2.526,1.137,1.706,1.619,1.114,0.908,0.976,1.633,3.862,33.533,123.773,104.468,22.140,2.908,2.993,5.350,5.278,3.582,4.453,23.448,297.472,612.632,224.832,12.270,0.755,0.671,0.747,0.663,0.719,0.836,0.744,0.620,0.808,0.803,0.569,0.612,0.510,0.522,
425,42.694,40.517,30.813,17.109,9.998,12.245,9.505,8.493,5.702,6.004,5.161,5.562,5.218,3.985,2.698,2.085,1.849,1.907,1.113,1.198,1.308,1.084,0.951,1.162,1.000,1.904,5.860,48.037,124.251,75.191,12.468,2.313,3.220,5.144,4.888,3.300,4.264,22.813,278.488,530.978,204.425,9.740,0.755,0.712,0.786,0.753,0.763,0.702,0.657,0.787,0.614,0.549,0.519,0.482,0.575,
